MONTH,DAY_OF_MONTH,DAY_OF_WEEK,DEST,CRS_ELAPSED_TIME,DISTANCE,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT,DELAY_STATUS
11,1,5,CHS,124,636,323,448,48,34,58,25,38,29.86,Fair / Windy,9,17,14,0
11,1,5,LAX,371,2475,333,531,48,34,58,25,38,29.86,Fair / Windy,9,17,15,0
11,1,5,FLL,181,1069,341,482,48,34,58,25,38,29.86,Fair / Windy,9,17,22,1
11,1,5,MCO,168,944,343,513,48,34,58,25,38,29.86,Fair / Windy,9,17,12,0
11,1,5,ATL,139,760,356,499,46,32,58,24,35,29.91,Fair / Windy,9,17,13,0
11,1,5,ORD,161,740,358,460,46,32,58,24,35,29.91,Fair / Windy,9,17,21,0
11,1,5,LAX,373,2475,359,553,46,32,58,24,35,29.91,Fair / Windy,9,17,26,0
11,1,5,BUF,80,301,360,445,46,32,58,24,35,29.91,Fair / Windy,17,21,11,0
11,1,5,LGB,368,2465,365,553,46,32,58,24,35,29.91,Fair / Windy,17,21,25,1
11,1,5,FLL,184,1069,373,554,46,32,58,24,35,29.91,Fair / Windy,17,21,29,1
11,1,5,LAS,343,2248,376,544,46,32,58,24,35,29.91,Fair / Windy,17,21,26,0
11,1,5,DCA,95,213,379,479,46,32,58,24,35,29.91,Fair / Windy,17,21,30,0
11,1,5,PHX,336,2153,386,546,46,32,58,24,35,29.91,Fair / Windy,17,21,24,0
11,1,5,SFO,388,2586,407,618,46,32,58,24,35,29.91,Fair / Windy,17,21,17,0
11,1,5,SJU,222,1598,409,523,46,32,58,24,35,29.91,Fair / Windy,17,21,16,1
11,1,5,SFO,391,2586,414,631,47,33,59,24,29,30.0,Fair / Windy,17,21,16,0
11,1,5,SLC,321,1990,414,620,47,33,59,24,29,30.0,Fair / Windy,17,21,25,0
11,1,5,BOS,82,187,415,502,47,33,59,24,29,30.0,Fair / Windy,17,21,15,0
11,1,5,SFO,386,2586,417,626,47,33,59,24,29,30.0,Fair / Windy,17,21,18,0
11,1,5,SAV,143,718,417,562,47,33,59,24,29,30.0,Fair / Windy,17,21,14,0
11,1,5,SYR,73,209,417,493,47,33,59,24,29,30.0,Fair / Windy,17,21,21,0
11,1,5,ATL,154,760,418,572,47,33,59,24,29,30.0,Fair / Windy,17,21,16,1
11,1,5,MSP,187,1029,418,547,47,33,59,24,29,30.0,Fair / Windy,17,21,34,0
11,1,5,LAX,379,2475,418,624,47,33,59,24,29,30.0,Fair / Windy,17,21,15,0
11,1,5,LAX,365,2475,419,605,47,33,59,24,29,30.0,Fair / Windy,17,21,23,0
11,1,5,SEA,373,2422,423,618,47,33,59,24,29,30.0,Fair / Windy,30,26,24,0
11,1,5,MIA,184,1089,424,604,47,33,59,24,29,30.0,Fair / Windy,30,26,24,1
11,1,5,SEA,380,2422,424,630,47,33,59,24,29,30.0,Fair / Windy,30,26,19,0
11,1,5,PDX,375,2454,442,640,47,33,59,24,29,30.0,Fair / Windy,30,26,20,0
11,1,5,TPA,180,1005,445,627,47,33,59,24,29,30.0,Fair / Windy,30,26,13,0
11,1,5,BTV,75,266,461,530,47,33,59,24,29,30.0,Fair / Windy,30,26,11,1
11,1,5,ORD,163,740,463,570,47,33,59,24,29,30.0,Fair / Windy,30,26,13,0
11,1,5,LAX,376,2475,474,676,50,33,52,21,30,30.0,Fair / Windy,30,26,20,0
11,1,5,ORD,166,740,476,585,50,33,52,21,30,30.0,Fair / Windy,30,26,19,0
11,1,5,IAH,253,1417,477,673,50,33,52,21,30,30.0,Fair / Windy,30,26,23,0
11,1,5,DEN,271,1626,478,631,50,33,52,21,30,30.0,Fair / Windy,30,26,20,0
11,1,5,RSW,193,1074,478,642,50,33,52,21,30,30.0,Fair / Windy,30,26,10,1
11,1,5,LAX,376,2475,479,676,50,33,52,21,30,30.0,Fair / Windy,30,26,12,0
11,1,5,ORF,88,290,479,573,50,33,52,21,30,30.0,Fair / Windy,30,26,25,0
11,1,5,JAX,156,828,480,641,50,33,52,21,30,30.0,Fair / Windy,46,19,24,0
11,1,5,MCO,176,944,480,656,50,33,52,21,30,30.0,Fair / Windy,46,19,10,1
11,1,5,MIA,181,1089,480,666,50,33,52,21,30,30.0,Fair / Windy,46,19,36,0
11,1,5,MSY,189,1182,481,614,50,33,52,21,30,30.0,Fair / Windy,46,19,11,0
11,1,5,CLT,136,541,481,621,50,33,52,21,30,30.0,Fair / Windy,46,19,21,0
11,1,5,MCO,170,944,482,655,50,33,52,21,30,30.0,Fair / Windy,46,19,15,0
11,1,5,BNA,159,765,483,584,50,33,52,21,30,30.0,Fair / Windy,46,19,24,0
11,1,5,RDU,111,427,483,596,50,33,52,21,30,30.0,Fair / Windy,46,19,12,0
11,1,5,SFO,400,2586,483,710,50,33,52,21,30,30.0,Fair / Windy,46,19,28,0
11,1,5,FLL,187,1069,484,667,50,33,52,21,30,30.0,Fair / Windy,46,19,25,1
11,1,5,SJU,234,1598,484,719,50,33,52,21,30,30.0,Fair / Windy,46,19,29,0
11,1,5,SAN,359,2446,485,664,50,33,52,21,30,30.0,Fair / Windy,46,19,25,1
11,1,5,SJC,388,2569,489,703,50,33,52,21,30,30.0,Fair / Windy,46,19,26,0
11,1,5,TPA,173,1005,492,658,50,33,52,21,30,30.0,Fair / Windy,46,19,21,1
11,1,5,RDU,104,427,494,592,50,33,52,21,30,30.0,Fair / Windy,46,19,21,1
11,1,5,ROC,84,264,494,507,50,33,52,21,30,30.0,Fair / Windy,46,19,27,1
11,1,5,SLC,321,1990,498,706,50,33,52,21,30,30.0,Fair / Windy,46,19,26,0
11,1,5,MIA,194,1089,498,684,50,33,52,21,30,30.0,Fair / Windy,46,19,25,1
11,1,5,FLL,174,1069,499,659,50,33,52,21,30,30.0,Fair / Windy,46,19,26,1
11,1,5,DFW,239,1391,509,688,50,33,52,21,30,30.0,Fair / Windy,46,19,16,1
11,1,5,SAN,376,2446,511,706,50,33,52,21,30,30.0,Fair / Windy,46,19,22,1
11,1,5,LAX,379,2475,511,714,50,33,52,21,30,30.0,Fair / Windy,46,19,25,0
11,1,5,ATL,146,760,512,656,50,33,52,21,30,30.0,Fair / Windy,46,19,16,1
